company_id,company_name
60866,southeast advisory company limited
413805,lost horizon resort company limited
573658,"cyber com international co., ltd."
277335,global assets company limited
767621,vetta nine company limited
95166,"able success co.,ltd."
535590,domain property company limited
1082392,solid magazine(thailand) company limited
949098,siam asset management company limited
553597,top furniture import-export company limited
697149,"northern media co., ltd."
578865,chongroup company limited
382757,andaman wine company limited
257152,"jr energy co.,ltd."
517502,ton company limited
293758,"globlex holding management co.,ltd."
469358,"nara factory co.,ltd."
988443,"coral island resort co., ltd."
987587,tokan company limited
52700,"leader international development co., ltd."
1076764,societe generale (thailand) company limited
676232,"network leadership co., ltd."
300606,aylmer aaharn (thailand) company limited
51464,elite business group company limited
191016,dam construction company limited
48665,jump communications company limited
1512,san shi mining industry company limited
282857,"grh trading co.,ltd."
95581,absolute medical company limited
473724,d insight company limited
95623,absolute it consulting company limited
695845,"pan air booking travel co.,ltd."
544782,aquarium world company limited
295986,louis company limited
302401,mobit synergy company limited
325985,"falck nutec (thailand) co.,ltd."
315950,education guide company limited
327420,"mahr s.e.a.co.,ltd."
739003,ricoh manufacturing (thailand) company limited
422814,petchburi company limited
520505,phuket villas & homes company limited
90432,"fusionex co.,ltd."
215067,"great glory co.,ltd."
802848,ui service company limited
323361,"leisure industries (thailand) co.,ltd."
312258,lpi rack range (thailand) company limited
6762,abroad property company limited
939999,t.p.group company limited
449028,korach industry company limited
293291,"kraft accounting co., ltd."
292075,j and j system company limited
94855,"am-d co.,ltd."
643506,nidec copal (thailand) company limited
534192,new line group company limited
218560,"palm pavilion co., ltd."
544301,cso service company limited
499374,"endurance technology (thailand) co.,ltd."
1001125,smith and smith company limited
46881,intelligence system corporation company limited
429723,cto management company limited
474462,yg (thailand) company limited
993535,"cast & craft creations co., ltd."
232128,ag one company limited
5393,dplus intertrade company limited
709967,travel and fun company limited
733865,prime phuket company limited
718823,"resotel group international co.,ltd."
250609,linktuner solution company limited
116337,lux alliance company limited
297135,double a and a
708167,"bull riders incorporation (thailand) co.,ltd."
761098,richco group (thailand) company limited
49528,"educational services international co.,ltd."
506752,devsync company limited
385264,body system company limited
270576,"global business management consultant co., ltd."
9796,"desire n design co.,ltd."
431852,rolly tasker sails (thailand) company limited
311784,"modern technology co., ltd."
711431,"bangkok logistics international co., ltd."
229742,"holiday international (thailand) co., ltd."
1050514,shou group international company limited
170001,"inter laundry co., ltd."
795700,"well korat energy co.,ltd."
71540,takerng tour company limited
304722,faw (thailand) company limited
129001,golden ship supply company limited
94185,gravity intertrade company limited
451477,vp luxury company limited
509648,mycos technologies company limited
248318,dream express (dex) company limited
869598,tang company limited
500292,new born group company limited
805810,mcdamos company limited
98174,"advanced international co.,ltd."
217046,"hitachi asia (thailand) co., ltd."
431421,"k-mac vibration analysis co.,ltd."
357856,gpf property management company limited
204629,herbert (thailand) company limited
219773,"ic-supply co.,ltd."
346861,"jacob's jewelry co., ltd."
314393,"o-planet interior design co.,ltd."
149179,jena the third company limited
249500,paragon development company limited
396135,anju diam company limited
196339,"general sound co., ltd."
259745,j seven company limited
53980,enjoy (thailand) company limited
